IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an elderly person	NA	a mother	NA	0.290038057742782	0.0226274353109417	0.580076115485564	-1
a mentor	NA	a soldier	NA	0.375491379310345	0.0440620773441543	0.75098275862069	-1
an astronaut	NA	a teacher	NA	0.430125531914894	0.0328116247480699	0.860251063829787	-1
a gang member	NA	a police officer	NA	0.120399193548387	0.0288830246684715	0.240798387096774	-1
a rapist	NA	a father	NA	0.00922384937238494	0.00583509463650187	0.0184476987447699	-1
an olympian	NA	an adult	NA	0.4536390625	0.027646088299941	0.907278125	-1
an olympian	NA	a nun	NA	0.513669642857143	0.0463391781713029	0.972660714285714	1
a rapist	NA	a celebrity	NA	0.0917695652173913	0.0256655813883834	0.183539130434783	-1
a celebrity	NA	a thief	NA	0.799059090909091	0.0366712100911652	0.401881818181818	1
a celebrity	NA	a convict	NA	0.717508403361345	0.0394458937014158	0.564983193277311	1
a thief	NA	a soldier	NA	0.0532565217391304	0.0203489891454598	0.106513043478261	-1
a judge	NA	a nun	NA	0.498542735042735	0.0446395763306561	0.99708547008547	-1
a terrorist	NA	a thief	NA	0.336152173913043	0.0399674435745428	0.672304347826087	-1
a soldier	NA	a celebrity	NA	0.744926605504587	0.0401005556794695	0.510146788990826	1
an astronaut	NA	a police officer	NA	0.443376984126984	0.0430859061206908	0.886753968253968	-1
an elderly person	NA	an olympian	NA	0.59165503875969	0.0315127226209565	0.81668992248062	1
a congressman	NA	a father	NA	0.191257709251101	0.0246195380082891	0.382515418502203	-1
a police officer	NA	a celebrity	NA	0.649220338983051	0.0441267926869705	0.701559322033898	1
an assassin	NA	a teacher	NA	0.053781779661017	0.0144921394093474	0.107563559322034	-1
a police officer	NA	a thief	NA	0.904024193548387	0.0258479655655827	0.191951612903226	1
a thief	NA	an addict	NA	0.304035087719298	0.041768640749208	0.608070175438597	-1
an addict	NA	a nun	NA	0.28245652173913	0.0416497095895626	0.564913043478261	-1
a celebrity	NA	an olympian	NA	0.427264423076923	0.0482648112590759	0.854528846153846	-1
a nun	NA	an addict	NA	0.719660869565217	0.0407429419889567	0.560678260869565	1
a father	NA	a gang member	NA	0.933858974358974	0.0162527693572001	0.132282051282051	1
an addict	NA	a terrorist	NA	0.83279203539823	0.0336062349365501	0.33441592920354	1
a father	NA	a thief	NA	0.959229787234043	0.0120730299928969	0.081540425531915	1
an assassin	NA	a mentor	NA	0.0609083333333333	0.0211828686030856	0.121816666666667	-1
a mentor	NA	an addict	NA	0.787752173913044	0.0357202446683725	0.424495652173913	1
