IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a judge	NA	an elderly person	NA	0.395763257575758	0.0306543086901795	0.791526515151515	-1
a judge	NA	an olympian	NA	0.492131818181818	0.046587624426718	0.984263636363636	-1
a nun	NA	a congressman	NA	0.609218181818182	0.0464890949222556	0.781563636363636	1
a rapist	NA	a thief	NA	0.310454545454545	0.0377575147387079	0.620909090909091	-1
a rapist	NA	a convict	NA	0.242207692307692	0.0332740477100157	0.484415384615385	-1
a mother	NA	a terrorist	NA	0.994872844827586	0.00442076589592799	0.0102543103448276	1
an addict	NA	a gang member	NA	0.669043859649123	0.0409888481419796	0.661912280701754	1
a nun	NA	a mentor	NA	0.402008403361345	0.0436040561641711	0.804016806722689	-1
a pedophile	NA	an olympian	NA	0.0171592920353982	0.0117253616075108	0.0343185840707965	-1
a father	NA	a pedophile	NA	0.995029535864979	0.00425582039286404	0.00994092827004223	1
a teacher	NA	a mother	NA	0.288837142857143	0.0231896751702971	0.577674285714286	-1
an astronaut	NA	a congressman	NA	0.650813636363636	0.0425325630030665	0.698372727272727	1
a celebrity	NA	a congressman	NA	0.536843137254902	0.0472276807545555	0.926313725490196	1
a gang member	NA	a mother	NA	0.0531115879828326	0.0143774243120113	0.106223175965665	-1
a father	NA	an adult	NA	0.704496621621622	0.0219333610706849	0.591006756756757	1
a mentor	NA	a celebrity	NA	0.642617117117117	0.0438505695562411	0.714765765765766	1
a teacher	NA	a congressman	NA	0.697796460176991	0.0294493850447627	0.604407079646018	1
an astronaut	NA	a mentor	NA	0.450512605042017	0.0459830685947417	0.901025210084034	-1
a thief	NA	an astronaut	NA	0.093478813559322	0.0259759448376775	0.186957627118644	-1
a terrorist	NA	an assassin	NA	0.395419491525424	0.0394582211524271	0.790838983050847	-1
an assassin	NA	a father	NA	0.0302088607594937	0.0103949830965082	0.0604177215189874	-1
a rapist	NA	a judge	NA	0.0397438016528926	0.0167007650242179	0.0794876033057851	-1
a convict	NA	an elderly person	NA	0.164692307692308	0.0217672407087821	0.329384615384615	-1
